Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
162, , layer4.1.conv2, 5, 0.6446245908737183, 0.015395672470585478 
163, , layer4.1.conv2, 5, 0.6493173837661743, 0.015164833077239094 
164, , layer4.1.conv2, 5, 0.6612628102302551, 0.01458571205684858 
165, , layer4.1.conv2, 5, 0.651450514793396, 0.015122496484820143 
166, , layer4.1.conv2, 5, 0.657423198223114, 0.014854831268228973 
167, , layer4.1.conv2, 5, 0.6557167172431946, 0.014887081713450647 
168, , layer4.1.conv2, 5, 0.6548634767532349, 0.015060701118241804 
169, , layer4.1.conv2, 5, 0.6608361601829529, 0.014767623086914471 
170, , layer4.1.conv2, 5, 0.6757678985595703, 0.013997789462805811 
171, , layer4.1.conv2, 5, 0.6638225317001343, 0.014621775101476156 
172, , layer4.1.conv2, 5, 0.6689419746398926, 0.014482661693932253 
173, , layer4.1.conv2, 5, 0.6680887341499329, 0.014511830507183238 
174, , layer4.1.conv2, 5, 0.6612628102302551, 0.015173341169851633 
175, , layer4.1.conv2, 5, 0.6791808605194092, 0.01414939375918473 
176, , layer4.1.conv2, 5, 0.6697952151298523, 0.014637257582778207 
177, , layer4.1.conv2, 5, 0.6569966077804565, 0.014952618867133461 
178, , layer4.1.conv2, 5, 0.6680887341499329, 0.014650710073296528 
179, , layer4.1.conv2, 5, 0.6723549365997314, 0.01446947278041685 
180, , layer4.1.conv2, 5, 0.6676621437072754, 0.01459302167080775 
181, , layer1.1.conv2, 5, 0.30631399154663086, 0.029773540311705943 
182, , layer1.1.conv2, 5, 0.38353243470191956, 0.026795998520818588 
183, , layer1.1.conv2, 5, 0.40401023626327515, 0.024779071910592882 
184, , layer1.1.conv2, 5, 0.4163822531700134, 0.024471811390777497 
185, , layer1.1.conv2, 5, 0.4244880676269531, 0.02381765166036912 
186, , layer1.1.conv2, 5, 0.43643343448638916, 0.023632759628849226 
187, , layer1.1.conv2, 5, 0.4594709873199463, 0.02284146267475732 
188, , layer1.1.conv2, 5, 0.47013652324676514, 0.022584722723824578 
